date,value1,value2,value3,value4,value5
2015-09-27,49237939.45527924,50987655.63186415,47617376.36553525,49356577.0841536,278554.79521023994
2015-09-28,48978430.49639277,51490663.61604884,46139650.51637385,50140397.99476009,278554.79521023994
2015-09-29,49898263.14559592,51749831.437651314,46843851.3722791,49093345.58416213,278554.79521023994
2015-09-30,48859144.63053006,50570601.84821998,47308315.26335939,49458863.5048019,278554.79521023994
2015-10-01,48469440.27771736,50706848.878157675,45844326.32332799,47546519.17193494,278554.79521023994
2015-10-02,48202013.66289793,49330331.86575721,42350193.61269845,45986797.71581271,278554.79521023994
2015-10-03,45501115.85965978,47262636.93249768,43584739.37492734,45146516.23198405,278554.79521023994
2015-10-04,44632202.44257276,47305803.2111469,43668900.07782283,44963524.17853111,193750.66605685002
2015-10-05,44868706.43952174,47781545.27094831,42170050.594446294,45113665.398625,193750.66605685002
2015-10-06,45056049.23510052,48359758.812127605,43284296.61010904,45419471.824550465,193750.66605685002
2015-10-07,45799319.059880234,47722424.98297547,44604343.35995295,45669778.31641511,193750.66605685002
2015-10-08,45557849.97895421,47184224.799173646,44109679.65847836,45253364.191651866,193750.66605685002
2015-10-09,45052407.74240667,48125854.64593451,44134404.13269877,47050805.000984855,193750.66605685002
2015-10-10,46823128.84112339,48385012.53030843,44961582.53839976,47481585.02751838,193750.66605685002
2015-10-11,46580803.16908498,49568856.11071132,45617003.5292161,47740502.57295005,275444.6893809601
2015-10-12,47748673.28724687,49757029.851762705,45174814.570364885,47793143.48158807,275444.6893809601
2015-10-13,47691379.2423867,49699470.67631069,43753734.77793905,47207772.190636136,275444.6893809601
2015-10-14,47431968.604570135,49663022.50732498,42102735.34512346,44490158.61847919,275444.6893809601
2015-10-15,44782914.3697096,46459962.10184823,40990300.33034779,44292046.72097136,275444.6893809601
2015-10-16,43850941.53450171,47493320.96906991,41031741.994579695,43628799.54804657,275444.6893809601
2015-10-17,44373282.65678596,46430555.06586043,40193121.432939425,43301681.4491196,275444.6893809601
2015-10-18,43122535.46772722,46039154.22722911,40967283.59982699,43399930.70284891,423508.1571131401
2015-10-19,43349057.41210821,45487779.9376361,41621754.04980022,43240491.292466104,423508.1571131401
2015-10-20,43514486.62344758,46379268.0508472,41880403.11147691,44184767.69715176,423508.1571131401
2015-10-21,43935828.527516216,45714367.391560316,40564007.6011368,41797289.44372669,423508.1571131401
2015-10-22,42417653.14074235,46433073.81745285,40056630.87580342,43093554.45797597,423508.1571131401
2015-10-23,43027488.42810929,45102386.75710405,40274283.166044764,41946725.8465531,423508.1571131401
2015-10-24,41888599.95579759,43992239.38474332,40253545.53340336,42215413.47493807,423508.1571131401
2015-10-25,42060501.20998228,45556108.77250072,39628264.581278406,41793606.93008104,172992.10409667002
2015-10-26,41533791.304928556,43561925.377896555,39279849.35859569,41080952.21610532,172992.10409667002
2015-10-27,41371896.114023484,45554319.932502,39103988.881401315,42293388.07090103,172992.10409667002
2015-10-28,42331203.13209193,47145765.32509033,40926727.234954245,43630997.714367054,172992.10409667002
2015-10-29,43410585.65121193,48898609.17410452,41672450.64272787,46339115.21889399,172992.10409667002
2015-10-30,46622212.574260734,53735538.88909792,43704667.110537015,48710534.52915382,172992.10409667002
2015-10-31,49252149.51961632,51788528.84875653,42432439.80332495,44770726.228943124,172992.10409667002
2015-11-01,45233847.58686799,50416963.155761905,42631195.27762002,48445466.55982963,320677.13937303005
2015-11-02,48536793.23750713,55871670.464391015,41533847.2570656,49204247.3110798,320677.13937303005
2015-11-03,49279766.85915176,58545709.89172619,41410754.425229415,48562223.471205324,320677.13937303005
2015-11-04,49463397.3265035,61919325.647307515,33941109.2723166,44461984.4979672,320677.13937303005
2015-11-05,44819059.30616651,54773680.13122802,36388390.3803063,43207971.36377705,320677.13937303005
2015-11-06,43736803.980778925,51567122.72012709,38836101.92828517,45653107.71114873,320677.13937303005
2015-11-07,45847272.07353046,50795537.407809205,42479439.95494807,45943230.410668865,320677.13937303005
2015-11-08,45968207.10562712,49924329.94214138,41510139.01180279,44843775.9123505,214528.41705513
2015-11-09,44466336.102750555,47830844.29199131,39932957.83238493,43272644.418656096,214528.41705513
2015-11-10,44063002.87501704,48571383.09438764,35803129.74250504,41163938.7325178,214528.41705513
2015-11-11,41027380.44691697,46981698.648732536,35129500.50688386,40099957.09573292,214528.41705513
2015-11-12,40155513.82080168,47619693.571527,37780007.8649146,42768266.10970899,214528.41705513
2015-11-13,42429857.56284003,46485801.34784747,39656394.346842,43212119.29668611,214528.41705513
2015-11-14,43479319.35725072,48528566.328284435,40012426.09947179,43280641.62935505,214528.41705513
