date,value1,value2,value3,value4,value5
2017-04-16,2686135055.2918587,2815344014.531868,2582164831.0742607,2678061084.0897675,165636877.07249457
2017-04-17,2779408175.2557793,2932802252.707157,2662770277.852337,2773633570.5321846,165636877.07249457
2017-04-18,2760616987.872921,2956708986.5814323,2634141074.3856544,2780516623.4790154,165636877.07249457
2017-04-19,2773011086.610241,2889542141.5053596,2517285207.180195,2671584642.057419,165636877.07249457
2017-04-20,2645870436.8410683,2794506947.804405,2406750043.088688,2627906647.4255943,165636877.07249457
2017-04-21,2627305112.7984924,2879643854.136715,2564357281.149605,2776142500.335575,165636877.07249457
2017-04-22,2764947611.054798,2883697515.0889664,2567408546.90596,2694658103.491932,165636877.07249457
2017-04-23,2707550225.420555,2810474391.038658,2638882664.926304,2713443983.9595222,306310762.8843666
2017-04-24,2718999185.231243,2870587617.4421654,2641702359.2097816,2764136461.1658745,306310762.8843666
2017-04-25,2757028221.37912,2978925245.0457077,2665529454.0062523,2786115808.4994164,306310762.8843666
2017-04-26,2797453981.433819,2982536278.9462624,2726747400.3795204,2822674643.7830124,306310762.8843666
2017-04-27,2873445566.576874,3261693362.860317,2767737457.8879433,3091517993.8168526,306310762.8843666
2017-04-28,3087315727.7156754,3690010508.547928,2977492986.3288,3541250641.932678,306310762.8843666
2017-04-29,3546973525.2950325,4445890025.334724,3491014395.915058,4090024212.300152,306310762.8843666
2017-04-30,4098110947.8499527,4362403538.210838,3781842790.5193214,4068789589.2277756,431161112.0221385
2017-05-01,4053503221.6566696,4562185306.946449,3607762877.5473976,4015061692.9594955,431161112.0221385
2017-05-02,4030759040.869999,4296144165.461948,3689396998.8515778,4054594522.4530945,431161112.0221385
2017-05-03,4046831809.211849,4609885481.924828,3881771167.6385612,4472661659.40403,431161112.0221385
2017-05-04,4467633826.001007,5806230640.765633,4288431078.110012,5298914056.41724,431161112.0221385
2017-05-05,5298623161.89777,6704398826.806099,5083893054.125954,5834128745.226181,431161112.0221385
2017-05-06,5793559906.7837105,6711883128.033707,5695546630.643581,6428393997.181858,431161112.0221385
2017-05-07,6476146522.6030655,9407244924.227066,6137388048.911354,8264950006.106174,683078510.4565675
2017-05-08,8269918092.809666,12080963857.485813,6767981465.821171,10298445816.863102,683078510.4565675
2017-05-09,10291805502.643383,11303286281.172516,6278254045.358803,8609609949.411076,683078510.4565675
2017-05-10,8615285785.567501,10742997907.892101,8250066184.671967,9967844268.18951,683078510.4565675
2017-05-11,9979940013.67918,10789098244.971344,8709256485.371407,9860758836.887726,683078510.4565675
2017-05-12,9903831327.042152,11186048137.141083,9371578578.640713,10671934396.283527,683078510.4565675
2017-05-13,10539483064.667309,11506037004.4957,9864187245.24136,10808955934.674015,683078510.4565675
2017-05-14,10909974232.545551,11492628781.694908,10680909014.087578,11220270844.102509,353169528.78992623
2017-05-15,11214164596.18438,13261650631.27832,10863171529.793259,12988065071.861298,353169528.78992623
2017-05-16,12989902030.79837,16050148039.992538,12173488317.92492,15317329275.712162,353169528.78992623
2017-05-17,15310348928.81223,18772927846.98258,13383107639.284775,17512249999.371567,353169528.78992623
2017-05-18,17240798960.85215,18848971997.27622,14545372942.710636,17087077947.633297,353169528.78992623
2017-05-19,17086257107.171093,17817104741.565327,13977705722.644146,16056206255.765846,353169528.78992623
2017-05-20,16052909893.388557,18152881688.181473,14560710043.384758,17241690385.704174,353169528.78992623
2017-05-21,17137534819.27272,19266468235.90788,15940339745.692272,17416041853.667297,959575897.8515424
2017-05-22,17359438135.582115,19084610458.00952,12744345925.300217,16361300265.784622,959575897.8515424
2017-05-23,16281625998.797066,20142151211.43345,15419347262.511902,18338831984.78959,959575897.8515424
2017-05-24,18343371622.193916,20223116097.30519,15925204676.606697,16995209940.738777,959575897.8515424
2017-05-25,16986769691.304375,18613789957.207237,13142460747.658607,14297161815.08886,959575897.8515424
2017-05-26,14358186624.822464,18983524663.89283,13347126427.285374,15449833215.68634,959575897.8515424
2017-05-27,15449307146.079987,16263307709.343185,8329977733.617889,12241936886.663464,959575897.8515424
2017-05-28,12203209290.406212,14898878142.555588,11729883034.859444,13347438656.339333,2648416429.8504705
2017-05-29,13398776106.356895,14745410702.959587,12299499249.165474,13832283997.764023,2648416429.8504705
2017-05-30,13859955353.691696,14874507183.005035,11458569813.292831,12745140714.949295,2648416429.8504705
2017-05-31,12737956044.064621,15240979280.489708,11863464196.709175,14623588370.579689,2648416429.8504705
2017-06-01,14619147927.15268,19223691409.966545,14384562546.487228,18502600704.289955,2648416429.8504705
2017-06-02,18403703143.123367,19790592254.789284,15942840861.826347,17565195802.490395,2648416429.8504705
2017-06-03,17667322418.515823,19326079886.51628,16290251705.92691,17786747059.633553,2648416429.8504705
